"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Infants","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"663","Slow","WEB","1","A","grade1","Lon All",62," AC",14,7,2,0,"A","YES","YES","Mr","NO","0","2018","5",12,"Saturday","2019","7",16,"Tuesday","Business_Hour","afternoon","summer","M"
"664","Slow","WEB","1","A","grade1","Lon All",46," JH Area",14,4,1,0,"A","YES","NO","Mr","YES","0","2018","9",22,"Saturday","2019","8",7,"Wednesday","Business_Hour","afternoon","summer","M"
"665","Slow","WEB","1","A","grade1","GG",94," AB",14,7,1,0,"A","YES","YES","Mr","NO","0","2017","9",30,"Saturday","2019","7",19,"Friday","Business_Hour","afternoon","summer","M"
"666","Slow","WEB","1","A","grade3","Lon All",28," DC Drive",14,2,3,0,"None Required","YES","NO","Mr","NO","0","2017","2",3,"Friday","2017","8",17,"Thursday","Closed","morning","summer","M"
"667","Slow","WEB","1","A","grade3","Lon All",35," JH Area",14,2,0,0,"B","NO","NO","Mr","NO","0","2017","6",29,"Thursday","2018","3",2,"Friday","Business_Hour","morning","spring","M"
"668","Slow","WEB","1","A","grade2","Lon All",59," LV",11,4,0,0,"None Required","NO","NO","Mr","NO","0","2017","7",27,"Thursday","2018","9",15,"Saturday","Business_Hour","morning","fall","M"
"669","Slow","WEB","1","A","grade1","Lon All",76," JH Area",28,4,1,0,"A","YES","NO","Mr","NO","0","2019","1",29,"Tuesday","2020","7",14,"Tuesday","Closed","morning","summer","M"
"670","Slow","WEB","1","A","grade1","MCH",7," AC",18,2,0,0,"B","YES","YES","Mr","NO","0","2017","11",14,"Tuesday","2018","1",2,"Tuesday","Closed","morning","winter","M"
"671","Slow","WEB","0","A","grade1","Lon Gat",30," PP Area",10,6,2,0,"A","YES","NO","Mr","YES","0","2018","9",20,"Thursday","2019","4",19,"Friday","Business_Hour","afternoon","spring","M"
"672","Slow","WEB","1","A","grade2","Lon All",28," AB",15,1,1,0,"A","NO","NO","Mr","NO","0","2018","2",8,"Thursday","2018","8",20,"Monday","Business_Hour","afternoon","summer","M"
"673","Slow","WEB","0","A","grade2","MCH",23," AB",14,1,1,0,"B","NO","NO","Mr","NO","0","2018","3",3,"Saturday","2018","8",9,"Thursday","Business_Hour","morning","summer","M"
"674","Slow","WEB","1","A","grade1","Lon Gat",68," AC",28,4,3,0,"B","YES","YES","Mr","NO","0","2018","4",4,"Wednesday","2019","7",25,"Thursday","Closed","morning","summer","M"
"675","Slow","WEB","1","A","grade1","MCH",48," PP Area",14,6,0,0,"A","YES","YES","Mr","YES","0","2018","8",23,"Thursday","2019","7",27,"Saturday","Closed","morning","summer","M"
"676","Slow","WEB","0","B","grade2","MCH",27," CC City",3,4,0,0,"A","NO","NO","Mr","NO","0","2017","1",31,"Tuesday","2017","8",9,"Wednesday","Business_Hour","morning","summer","M"
"677","Slow","WEB","0","A","grade1","Lon All",39," AC",10,4,3,0,"A","YES","YES","Mr","NO","0","2017","6",28,"Wednesday","2018","3",29,"Thursday","Business_Hour","morning","spring","M"
"678","Slow","WEB","1","E","grade1","Lon All",105," AB",14,6,0,0,"A","YES","YES","Mr","NO","0","2017","8",9,"Wednesday","2019","8",17,"Saturday","Closed","morning","summer","M"
"679","Slow","WEB","0","A","grade1","Lon Heathrow",47," JH Area",14,13,4,0,"None Required","NO","NO","Mr","NO","0","2017","9",19,"Tuesday","2018","8",16,"Thursday","Business_Hour","morning","summer","M"
"680","Slow","WEB","1","E","None","Lon All",80," AC",21,3,1,0,"A","NO","NO","Mr","NO","0","2018","1",21,"Sunday","2019","8",8,"Thursday","Business_Hour","morning","summer","M"
"681","Slow","WEB","1","OTHER","grade1","Lon All",58," AC",14,4,3,0,"A","NO","NO","Mr","NO","0","2018","2",15,"Thursday","2019","3",30,"Saturday","Closed","morning","spring","M"
"682","Slow","WEB","0","A","grade1","Lon All",38," PP Area",7,4,5,0,"None Required","YES","NO","Mr","NO","0","2019","1",22,"Tuesday","2019","10",18,"Friday","Closed","morning","fall","M"
"683","Slow","WEB","1","A","grade1","MCH",25," AB",14,3,1,0,"None Required","NO","NO","Mr","NO","0","2017","1",30,"Monday","2017","7",26,"Wednesday","Business_Hour","afternoon","summer","M"
"684","Slow","WEB","0","B","grade1","MCH",103," CC City",14,2,1,0,"A","YES","YES","Mr","NO","0","2017","10",16,"Monday","2019","10",10,"Thursday","Business_Hour","morning","fall","M"
"685","Slow","WEB","1","A","grade1","GG",38,"OTHER",14,4,0,0,"A","NO","NO","Mr","NO","0","2018","5",30,"Wednesday","2019","2",23,"Saturday","Business_Hour","morning","winter","M"
"686","Slow","WEB","0","OTHER","grade1","OTHER",11," AB",14,3,1,0,"None Required","NO","NO","Mr","NO","0","2017","1",12,"Thursday","2017","4",1,"Saturday","Business_Hour","afternoon","spring","M"
"687","Slow","WEB","1","A","grade2","MCH",60," AB",14,2,2,0,"None Required","YES","YES","Mr","NO","0","2017","3",24,"Friday","2018","5",16,"Wednesday","Business_Hour","afternoon","spring","M"
"688","Slow","WEB","0","A","grade1","MCH",79," AB",14,6,2,0,"A","YES","YES","Mr","NO","0","2017","10",5,"Thursday","2019","4",13,"Saturday","Closed","morning","spring","M"
"689","Slow","WEB","1","OTHER","grade2","Any Airport",2," AC",7,4,0,0,"B","YES","YES","Mr","NO","0","2018","5",31,"Thursday","2018","6",16,"Saturday","Business_Hour","morning","summer","M"
"690","Slow","WEB","0","A","grade1","MCH",10,"OTHER",21,2,0,0,"None Required","NO","NO","Mr","NO","0","2018","9",7,"Friday","2018","11",16,"Friday","Business_Hour","morning","fall","M"
"691","Slow","WEB","1","A","grade1","Lon Gat",46," AB",14,4,1,0,"A","YES","NO","Mr","YES","0","2018","9",20,"Thursday","2019","8",6,"Tuesday","Business_Hour","afternoon","summer","M"
"692","Slow","WEB","1","A","grade1","Lon Heathrow",15," AC",8,3,1,0,"A","YES","YES","Mr","NO","0","2017","4",28,"Friday","2017","8",9,"Wednesday","Closed","morning","summer","M"
"693","Slow","WEB","1","OTHER","grade2","Any Airport",4," AC",15,3,1,0,"None Required","NO","NO","Mr","NO","0","2017","6",16,"Friday","2017","7",13,"Thursday","Closed","morning","summer","M"
"694","Slow","WEB","1","A","grade1","OTHER",41," AC",14,4,1,0,"None Required","YES","YES","Mr","NO","0","2017","9",1,"Friday","2018","6",12,"Tuesday","Business_Hour","morning","summer","M"
