Enquiry.Date,Enquiry.Time,Allocated.Time,Web.or.Phone,Answered by specialist,ConversationRCD,TempSent,Holiday.Type,Accom.type,Dep.Airport,Dep.Date,Lead.Time,Destination,Duration,Adults,Children,Infants,Transport.Type,Answered.Q,Notes.Completed,Title,Enquiry.Comments,Booked.Status
2/5/2018,9:34,Fast,PHONE,,6,3,D,grade2,AD,10/8/2018,35, AC,14,4,1,0,B,YES,YES,Ms,NO,YES
9/4/2018,13:06,Fast,PHONE,,10,7,A,grade1,Bristol,7/27/2019,46, JH Area,14,4,0,0,A,YES,NO,Ms,YES,YES
9/24/2017,21:34:12,Fast,PHONE,,3,5,B,grade2,Lon Gat,8/13/2018,46, AA Resort,14,3,0,0,B,NO,NO,Ms,NO,YES
2/4/2018,15:38,Fast,PHONE,Yes,3,1,E,,Lon All,10/28/2018,38, Fort Lauderdale,13,2,1,0,A,NO,NO,Ms,NO,YES
2/28/2018,16:42,Fast,PHONE,,16,5,A,grade1,GG,5/17/2019,63, AC,14,11,1,2,None Required,YES,YES,Ms,NO,YES
9/3/2018,14:46,Fast,PHONE,Yes,4,2,E,,MCH,8/6/2019,48, AB,14,6,0,0,None Required,YES,NO,Ms,YES,YES
2/5/2017,9:36:38,Fast,PHONE,,10,1,A,grade2,Lon Gat,11/17/2017,40, AC,14,2,0,0,B,NO,NO,Ms,NO,YES
8/28/2017,17:16:15,Fast,PHONE,Yes,6,6,A,grade2,MCH,8/8/2018,49, AC,18,3,2,0,B,NO,NO,Ms,NO,YES
6/5/2017,15:22:45,Fast,PHONE,,6,5,B,grade2,MCH,9/17/2017,15, CC City,8,2,0,0,None Required,NO,NO,Ms,NO,YES
8/19/2018,9:32,Fast,PHONE,Yes,4,3,A,grade1,MCH,8/8/2020,102, AB,14,3,1,0,A,NO,NO,Ms,YES,YES
9/16/2018,10:28,Fast,PHONE,Yes,9,1,E,,Lon All,8/10/2019,46, AB,10,2,2,0,None Required,YES,NO,Ms,YES,YES
10/25/2017,15:44:07,Fast,PHONE,,3,2,A,grade2,NC,2/26/2018,18, AC,7,2,0,0,None Required,NO,NO,Ms,NO,YES
1/13/2017,13:36:39,Fast,PHONE,,57,2,A,grade1,GG,1/24/2018,54, AC,14,4,2,0,A,NO,NO,Ms,NO,YES
12/10/2017,9:48:08,Fast,PHONE,,0,3,B,grade2,MCH,1/27/2018,6, AB,10,2,1,0,A,NO,NO,Ms,NO,YES
1/19/2018,12:38,Fast,PHONE,,1,1,B,grade2,MCH,8/6/2018,29, CC City,14,4,2,0,B,NO,NO,Ms,NO,YES
6/11/2017,16:20:39,Fast,PHONE,,5,3,A,grade1,MCH,5/8/2018,47, AC,7,2,0,0,A,YES,YES,Mrs,NO,YES
8/29/2018,14:40,Fast,PHONE,,8,7,A,grade2,MCH,10/1/2019,57, AA Resort,14,10,1,0,None Required,YES,YES,Mrs,YES,YES
4/23/2017,17:16:38,Fast,PHONE,,15,6,A,grade1,MCH,4/28/2018,52, VV Island,14,4,0,0,None Required,YES,YES,Mrs,NO,YES
1/8/2017,10:14:43,Fast,PHONE,,6,6,A,grade1,Lon All,5/21/2018,71, AC,15,4,2,1,A,YES,NO,Mrs,NO,YES
4/24/2017,8:10:38,Fast,PHONE,Yes,30,4,A,grade2,Lon Gat,10/19/2018,77, LA,10,1,1,0,B,NO,NO,Mrs,NO,YES
5/21/2017,14:06:38,Fast,PHONE,Yes,6,1,A,grade1,Lon Gat,8/14/2018,64, JH Area,14,7,1,0,A,YES,YES,Mrs,NO,YES
1/20/2019,11:27,Fast,PHONE,Yes,8,1,A,grade2,Lon Gat,10/5/2020,89, NM AB Resort,14,5,2,0,B,YES,NO,Mrs,YES,YES
10/28/2018,14:54,Fast,PHONE,,3,3,A,grade1,Lon Heathrow,7/6/2019,35, JH Area,10,4,0,0,A,YES,NO,Mrs,YES,YES
4/22/2018,12:46,Fast,PHONE,Yes,6,2,E,,Lon All,9/10/2018,20, Fort Lauderdale,10,2,0,0,A,NO,NO,Mrs,NO,YES
7/7/2018,14:46,Fast,PHONE,,13,5,A,grade1,BH,3/27/2020,90, AB,21,2,1,0,A,YES,YES,Mrs,YES,YES
12/27/2017,17:54:13,Fast,PHONE,,6,3,A,grade1,Lon All,5/19/2018,20, AB,14,3,3,0,None Required,NO,NO,Mrs,NO,YES
1/8/2019,15:48,Fast,PHONE,,4,1,C,grade2,Lon All,11/28/2019,46, DC Drive,14,2,0,0,None Required,YES,NO,Mrs,YES,YES
9/30/2018,8:30,Fast,PHONE,Yes,2,4,A,grade1,Lon Gat,8/16/2019,45, PP Area,14,2,2,0,A,YES,NO,Mrs,YES,YES
4/10/2018,9:06,Fast,PHONE,Yes,2,2,A,grade2,Lon All,7/16/2018,14, NM AB Resort,10,2,0,0,B,YES,YES,Mrs,NO,YES
9/16/2018,18:28,Fast,PHONE,Yes,0,1,E,,B,8/7/2019,46, PP Area,14,4,0,0,None Required,NO,NO,Mrs,YES,YES
9/16/2018,10:02,Fast,PHONE,Yes,2,1,A,grade2,MCH,11/12/2019,60, AA Resort,14,6,1,0,None Required,YES,YES,Mrs,YES,YES
6/10/2017,9:56:38,Fast,PHONE,,0,4,A,grade1,B,4/9/2018,44, AC,21,4,0,0,A,NO,NO,Mrs,NO,YES
6/10/2018,10:04,Fast,PHONE,Yes,6,3,B,grade2,Lon All,10/20/2018,18, AA Resort,12,2,2,0,A,NO,NO,Mrs,NO,YES
2/11/2018,11:30,Fast,PHONE,,6,2,E,,MCH,8/20/2019,79, AC,14,4,1,0,A,NO,NO,Mrs,NO,YES
3/4/2018,14:12,Fast,PHONE,,13,4,A,grade2,MCH,2/6/2020,100, AC Keys,10,2,0,0,B,NO,NO,Mrs,NO,YES
1/14/2018,17:00,Fast,PHONE,,6,2,A,grade1,Lon All,7/29/2018,28, AC,7,4,1,0,B,YES,YES,Mrs,NO,YES
1/1/2019,19:11,Fast,PHONE,Yes,2,1,A,grade3,Lon All,7/31/2019,30, AB,17,2,1,0,A,YES,YES,Mrs,YES,YES
1/9/2019,13:30,Fast,PHONE,,2,1,A,grade2,MCH,5/25/2019,19, NM AB Resort,14,2,0,0,B,NO,NO,Mrs,NO,YES
6/3/2018,18:42,Fast,PHONE,Yes,1,1,B,grade1,MCH,4/26/2019,46, CC City,16,4,1,0,A,YES,YES,Mrs,NO,YES
1/23/2017,12:26:39,Fast,PHONE,Yes,10,1,A,grade2,Lon Heathrow,7/6/2018,75, AB,14,2,2,0,A,NO,NO,Mrs,NO,YES
2/17/2018,11:42,Fast,PHONE,,5,2,B,grade2,MCH,8/4/2018,24, CC City,13,2,2,0,A,NO,NO,Mrs,NO,YES
7/17/2018,16:14,Fast,PHONE,,1,2,A,grade2,MCH,11/10/2019,69, DC Drive,14,2,0,0,None Required,YES,NO,Mrs,YES,YES
9/9/2018,10:56,Fast,PHONE,,4,1,A,grade2,Lon All,4/1/2019,29, NM AB Resort,14,2,1,0,A,YES,YES,Mrs,YES,YES
2/18/2018,16:26,Fast,PHONE,Yes,3,4,C,grade1,Any Airport,8/16/2018,25, AC,14,4,1,0,A,NO,NO,Mrs,NO,YES
12/26/2018,15:51,Fast,PHONE,Yes,3,4,A,grade1,MCH,5/16/2020,72, AB,21,2,2,0,A,YES,NO,Mrs,NO,YES
8/1/2018,8:08,Fast,PHONE,,15,4,E,,Lon Gat,5/25/2019,42, DC Drive,14,2,2,0,None Required,YES,NO,Mrs,YES,YES
1/22/2017,13:12:38,Fast,PHONE,,4,6,E,grade1,Lon All,7/19/2018,77, JH Area,14,6,2,0,A,NO,NO,Mrs,NO,YES
2/4/2018,10:28,Fast,PHONE,,3,3,A,grade2,MCH,8/15/2018,27, AC,10,3,2,0,None Required,NO,NO,Mrs,NO,YES
1/15/2019,11:04,Fast,PHONE,,2,1,D,,MCH,6/15/2020,74, DC Drive,7,2,0,0,B,YES,YES,Mrs,YES,YES
1/29/2018,10:04,Fast,PHONE,,5,2,E,,MCH,7/12/2018,23, AB,11,2,0,0,A,NO,NO,Mrs,NO,YES
4/22/2018,18:14,Fast,PHONE,,20,3,A,grade2,MCH,10/16/2019,77, AA Resort,14,2,2,0,A,NO,NO,Mrs,NO,YES
5/15/2018,11:14,Fast,PHONE,,3,2,E,,Lon Stansted,2/22/2019,40, LH,10,2,0,0,A,NO,NO,Mrs,NO,YES
6/28/2017,14:22:38,Fast,PHONE,,46,3,A,grade1,MCH,5/7/2019,97, AC,21,2,2,0,A,NO,NO,Mrs,NO,YES
7/6/2017,12:56:38,Fast,PHONE,Yes,9,1,E,grade2,MCH,10/4/2018,65, JH Area,14,4,0,0,A,NO,NO,Mrs,NO,YES
1/7/2017,16:50:39,Fast,PHONE,,59,8,A,grade1,Lon Stansted,7/17/2018,80, JH Area,21,4,3,0,None Required,NO,NO,Mrs,NO,YES
10/31/2018,13:34,Fast,PHONE,,6,5,A,grade2,Lon All,8/18/2020,94, DC Drive,14,4,0,0,A,YES,YES,Mrs,YES,YES
1/18/2018,12:30,Fast,PHONE,,13,2,B,grade2,BH,8/14/2018,30, DC Drive,14,2,1,0,None Required,NO,NO,Mrs,NO,YES
2/27/2017,12:54:39,Fast,PHONE,,0,1,A,grade2,Lon Gat,9/10/2018,80, DC Drive,15,3,2,0,B,YES,NO,Mrs,NO,YES
5/23/2017,9:31:02,Fast,PHONE,,5,1,C,grade1,Lon All,3/31/2018,44, AB,14,4,0,0,None Required,NO,NO,Mrs,NO,YES
10/16/2017,18:04:11,Fast,PHONE,,2,1,A,grade1,GG,7/1/2018,37, AC,14,4,0,0,A,YES,YES,Mrs,NO,YES
8/29/2017,9:18:10,Fast,PHONE,Yes,3,2,A,grade1,Lon Heathrow,8/12/2019,102, AB,15,8,3,0,A,NO,NO,Mrs,NO,YES
11/8/2018,15:40,Fast,PHONE,,4,2,A,grade1,Lon All,6/25/2019,33, JH Area,14,3,1,0,A,YES,YES,Mrs,YES,YES
8/10/2018,7:06,Fast,PHONE,Yes,0,1,A,grade2,BH,5/3/2019,38, SeaWorld Resort Area,14,2,0,0,B,YES,NO,Mrs,YES,YES
6/6/2017,18:24:38,Fast,PHONE,,5,3,B,grade2,Lon Gat,3/29/2018,42, AB,14,3,1,0,None Required,NO,NO,Mrs,NO,YES
4/25/2017,11:10:40,Extremely Fast,PHONE,,5,2,E,grade1,MCH,4/1/2018,49, AB,14,6,2,0,A,YES,YES,Mrs,NO,YES
5/30/2017,11:58:03,Extremely Fast,PHONE,,3,3,A,grade1,GG,5/13/2019,102, AB,10,2,0,0,A,NO,NO,Mrs,NO,YES
10/21/2017,16:16:07,Extremely Fast,PHONE,,3,8,A,grade2,Lon Gat,8/2/2018,41, AC,21,8,5,1,B,YES,YES,Mrs,NO,YES
1/15/2017,15:44:38,Extremely Fast,PHONE,Yes,1,2,A,grade1,MCH,12/6/2017,46, AC,14,2,0,0,A,NO,NO,Mrs,NO,YES
2/25/2018,15:10,Extremely Fast,PHONE,Yes,5,4,A,grade2,Lon Gat,11/30/2019,91, AB,14,2,2,0,B,NO,NO,Mrs,NO,YES
5/1/2017,14:18:43,Extremely Fast,PHONE,Yes,3,2,A,grade1,Lon Gat,8/16/2018,67, AB,14,6,0,0,A,NO,NO,Mrs,NO,YES
6/18/2017,13:18:41,Extremely Fast,PHONE,,6,1,A,grade1,Lon All,8/30/2017,10, AB,10,3,0,0,A,NO,NO,Mrs,NO,YES
7/7/2018,13:12,Extremely Fast,PHONE,,16,3,C,grade1,Lon All,5/18/2019,45, PP Area,14,4,2,0,None Required,YES,NO,Mrs,YES,YES
4/15/2017,8:06:38,Extremely Fast,PHONE,,2,2,B,grade2,MCH,9/4/2017,21, CC City,6,4,0,0,B,YES,YES,Mrs,NO,YES
7/6/2018,15:26,Extremely Fast,PHONE,,6,2,A,grade1,MCH,8/21/2019,59, PP Area,14,2,1,0,A,YES,NO,Mrs,YES,YES
1/9/2019,12:25,Extremely Fast,PHONE,,1,4,D,grade2,MCH,8/11/2019,31, AA Resort,14,3,1,0,A,YES,NO,Mrs,NO,YES
6/5/2017,14:00:39,Extremely Fast,PHONE,,12,3,E,grade2,Lon Gat,7/25/2018,59, AC,14,6,0,0,A,NO,NO,Mrs,NO,YES
9/30/2018,7:40,Extremely Fast,PHONE,,6,4,A,grade1,Bristol,7/24/2019,42, JH Area,14,3,1,0,A,YES,YES,Mrs,YES,YES
1/7/2019,10:50,Extremely Fast,PHONE,Yes,3,1,B,grade2,Lon All,12/27/2019,50, LV,6,2,0,0,None Required,YES,NO,Mrs,NO,YES
9/2/2017,12:20:07,Extremely Fast,PHONE,Yes,4,1,D,grade2,BH,12/18/2017,16, CARI,10,2,1,0,B,NO,NO,Mrs,NO,YES
9/3/2018,12:02,Extremely Fast,PHONE,,9,3,A,grade1,BH,8/19/2019,50, JH Area,10,4,1,0,A,YES,NO,Mrs,YES,YES
1/1/2017,14:52:40,Extremely Fast,PHONE,,14,1,A,grade1,Lon All,12/19/2017,50, JH Area,14,6,2,0,A,YES,NO,Mrs,NO,YES
10/15/2017,9:26:07,Extremely Fast,PHONE,,1,1,E,,Lon All,8/16/2018,43, JH Area,12,6,0,0,None Required,NO,NO,Mrs,NO,YES
2/4/2017,8:28:38,Extremely Fast,PHONE,,8,2,A,grade2,Lon All,10/22/2017,38, AA Resort,14,9,0,0,B,YES,NO,Mrs,NO,YES
4/22/2018,16:52,Extremely Fast,PHONE,Yes,2,1,B,grade2,Lon All,9/28/2019,74, AC,14,2,0,0,None Required,NO,NO,Mrs,NO,YES
5/25/2017,12:40:39,Extremely Fast,PHONE,,13,5,A,grade1,GG,10/15/2018,73, AC,14,4,1,0,A,NO,NO,Mrs,NO,YES
3/21/2018,13:00,Extremely Fast,PHONE,,13,8,A,grade2,MCH,8/15/2019,73, AB,7,6,0,0,A,NO,NO,Mrs,NO,YES
8/21/2018,11:30,Extremely Fast,PHONE,,3,2,E,,MCH,3/29/2020,84, JH Area,14,2,1,0,None Required,YES,YES,Mrs,YES,YES
1/6/2019,10:38,Extremely Fast,PHONE,Yes,3,2,E,,MCH,5/29/2020,72, AB,14,6,2,0,None Required,YES,NO,Mrs,YES,YES
7/23/2017,13:56:37,Extremely Fast,PHONE,,6,1,A,grade1,MCH,6/5/2019,97, AC,14,9,4,0,A,YES,YES,Mrs,NO,YES
1/20/2018,14:58,Extremely Fast,PHONE,Yes,3,3,A,grade1,Lon All,8/11/2018,29, AB,21,3,2,0,A,NO,NO,Mrs,NO,YES
8/28/2017,15:34:07,Extremely Fast,PHONE,Yes,5,3,A,grade2,MCH,8/20/2019,103, AC,14,2,0,0,B,NO,NO,Mrs,NO,YES
11/5/2018,10:06,Extremely Fast,PHONE,,9,3,A,grade1,MCH,10/7/2020,100, JH Area,14,9,3,0,A,NO,NO,Mrs,YES,YES
7/17/2018,7:12,Extremely Fast,PHONE,,8,1,A,grade1,BH,6/9/2019,47, JH Area,14,5,1,0,A,YES,NO,Mrs,YES,YES
10/14/2018,18:50,Extremely Fast,PHONE,Yes,0,1,A,grade2,Lon Heathrow,12/20/2018,9, PP Area,10,4,0,0,None Required,YES,NO,Mrs,YES,YES
7/25/2018,13:42,Extremely Fast,PHONE,Yes,16,5,A,grade2,MCH,8/12/2019,55, AA Resort,14,2,2,0,B,NO,NO,Mrs,YES,YES
8/26/2018,9:48,Extremely Fast,PHONE,,8,1,A,grade2,Lon Heathrow,4/5/2019,31, AA Resort,14,3,1,0,B,YES,NO,Mrs,YES,YES
5/22/2017,13:42:38,Extremely Fast,PHONE,,2,1,A,grade2,Lon All,4/3/2019,97, AC,14,3,1,0,A,NO,NO,Mrs,NO,YES
6/26/2017,16:06:38,Extremely Fast,PHONE,Yes,4,1,A,grade2,MCH,9/12/2018,63, AB,14,3,0,0,A,YES,YES,Mrs,NO,YES
5/23/2018,15:22,Extremely Fast,PHONE,,4,2,A,grade1,Lon All,10/24/2018,22, AB,14,1,1,0,A,NO,NO,Mrs,NO,YES
1/1/2017,12:00:54,Extremely Fast,PHONE,,18,1,C,grade1,Any Airport,4/10/2017,14, AB,10,2,2,0,None Required,NO,NO,Mrs,NO,YES
11/27/2018,8:32,Extremely Fast,PHONE,,5,2,A,grade2,Lon All,3/4/2020,66, AB,14,2,1,0,None Required,YES,YES,Mrs,YES,YES
3/4/2018,12:20,Extremely Fast,PHONE,,5,4,A,grade2,Lon All,8/8/2019,74, AC,17,3,2,0,A,NO,NO,Mrs,NO,YES
1/13/2017,8:54:38,Extremely Fast,PHONE,,3,2,A,grade1,Any Airport,8/12/2017,30, JH Area,14,4,1,0,A,NO,NO,Mrs,NO,YES
7/31/2017,11:30:45,Extremely Fast,PHONE,,12,5,E,grade2,Any Airport,9/12/2018,58, LH,15,2,0,0,A,NO,NO,Mrs,NO,YES
4/17/2018,14:02,Extremely Fast,PHONE,,2,1,A,grade3,ED,5/23/2019,57, AB,14,2,1,0,None Required,YES,YES,Mrs,NO,YES
9/16/2018,16:36,Extremely Fast,PHONE,,4,4,E,,Lon All,8/15/2019,47, AB,21,5,0,0,None Required,YES,NO,Mrs,YES,YES
7/15/2018,13:24,Extremely Fast,PHONE,Yes,2,1,A,grade2,Lon All,2/14/2019,30, AA Resort,14,1,1,0,B,YES,NO,Mrs,YES,YES
12/26/2017,14:56:15,Extremely Fast,PHONE,,25,5,A,grade2,MCH,12/22/2018,51, AC,7,3,0,0,B,YES,YES,Mrs,NO,YES
1/8/2019,13:57,Extremely Fast,PHONE,,2,5,B,,Lon All,9/6/2019,34, SF,8,4,0,0,B,YES,NO,Mrs,NO,YES
4/16/2017,12:08:43,Extremely Fast,PHONE,,5,2,A,grade2,GG,10/8/2018,77, AC,14,3,2,0,B,NO,NO,Mrs,NO,YES
12/12/2018,12:42,Extremely Fast,PHONE,,5,3,A,grade1,MCH,8/13/2019,35, JH Area,14,4,1,0,A,YES,NO,Mrs,NO,YES
7/22/2018,11:12,Extremely Fast,PHONE,,9,1,A,grade2,MCH,4/15/2019,38, AB,10,3,2,0,A,YES,NO,Mrs,YES,YES
7/9/2018,8:00,Extremely Fast,PHONE,,15,3,B,grade2,MCH,8/3/2020,108, JH Area,14,3,1,0,None Required,YES,NO,Mrs,YES,YES
1/21/2017,16:17:57,Extremely Fast,PHONE,,0,2,E,None,MCH,9/11/2017,34, AB,14,6,0,0,A,NO,NO,Mrs,NO,YES
7/7/2017,13:08:38,Extremely Fast,PHONE,,4,1,A,grade2,MCH,8/8/2018,57, AC,14,3,0,0,A,NO,NO,Mrs,NO,YES
5/7/2017,15:14:39,Extremely Fast,PHONE,Yes,11,5,A,grade2,MCH,7/14/2018,61, AC,18,4,0,0,A,NO,NO,Mrs,NO,YES
6/19/2018,14:11,Extremely Fast,PHONE,,5,1,A,grade2,MCH,10/6/2020,120, AC,14,4,0,0,,NO,NO,Mrs,NO,YES
11/4/2018,8:16,Extremely Fast,PHONE,Yes,1,2,B,grade2,Bristol,9/16/2019,45, LA,10,2,0,0,A,YES,NO,Mrs,YES,YES
5/14/2018,8:14,Extremely Fast,PHONE,,6,2,A,grade1,Lon All,8/3/2018,11, VV Island,7,4,1,0,A,NO,NO,Mrs,NO,YES
2/5/2018,14:24,Extremely Fast,PHONE,Yes,0,1,A,grade1,Lon All,1/7/2019,48, AC,10,4,0,0,A,YES,YES,Mrs,NO,YES
4/2/2017,9:44:41,Extremely Fast,PHONE,,7,2,A,grade2,MCH,9/19/2018,76, AC,14,2,1,1,None Required,NO,NO,Mrs,NO,YES
1/22/2018,14:54,Extremely Fast,PHONE,,14,4,E,,BH,8/19/2019,82, AC,10,4,2,0,A,NO,NO,Mrs,NO,YES
1/14/2018,13:48,Extremely Fast,PHONE,Yes,0,1,A,grade1,MCH,2/15/2018,4, AB,14,2,1,0,A,NO,NO,Mrs,NO,YES
12/29/2018,16:17,Extremely Fast,PHONE,,2,1,A,grade2,Lon All,4/3/2020,66, AA Resort,14,4,0,0,B,YES,NO,Mrs,YES,YES
7/9/2018,13:38,Extremely Fast,PHONE,,11,3,A,grade1,Lon Gat,6/9/2019,48, AB,14,6,0,0,A,YES,NO,Mrs,YES,YES
8/18/2017,13:46:06,Extremely Fast,PHONE,,10,2,A,grade1,ED,10/2/2019,111, AB,14,5,2,0,A,NO,NO,Mrs,NO,YES
2/18/2018,9:34,Extremely Fast,PHONE,,35,5,E,,MCH,8/4/2020,128, AC,21,4,2,0,A,NO,NO,Mrs,NO,YES
11/29/2018,9:52,Extremely Fast,PHONE,,16,4,A,grade2,Lon Gat,10/20/2019,47, AA Resort,7,7,2,0,B,YES,YES,Mrs,YES,YES
1/18/2018,8:18,Extremely Fast,PHONE,,3,3,A,grade1,Any Airport,4/4/2019,63, AA Resort,14,2,1,0,B,YES,YES,Mrs,NO,YES
1/1/2017,17:25:01,Extremely Fast,PHONE,,3,2,A,grade1,GG,10/14/2017,40, AC,14,4,1,0,A,NO,NO,Mrs,NO,YES
9/29/2017,12:06:07,Extremely Fast,PHONE,,0,4,B,grade2,Lon Gat,7/1/2018,40, LH,10,2,0,0,A,NO,NO,Mrs,NO,YES
10/15/2017,10:08:10,Extremely Fast,PHONE,,8,6,E,,Lon Heathrow,12/16/2017,8, LH,14,2,2,0,A,NO,NO,Mrs,NO,YES
2/15/2018,14:48,Extremely Fast,PHONE,,17,3,A,grade2,ED,10/7/2019,86, AC,14,6,3,0,B,NO,NO,Mrs,NO,YES
8/5/2018,14:08,Extremely Fast,PHONE,Yes,0,1,A,grade2,MCH,5/27/2019,42, NM AB Resort,10,5,0,0,A,YES,NO,Mrs,YES,YES
2/3/2017,14:50:38,Extremely Fast,PHONE,,8,2,A,grade1,MCH,4/7/2019,114, AC,14,2,3,0,A,NO,NO,Mrs,NO,YES
5/10/2018,12:08,Extremely Fast,PHONE,,2,5,A,grade2,GG,5/16/2019,53, AB,7,1,1,0,B,NO,NO,Mrs,NO,YES
7/22/2018,11:08,Extremely Fast,PHONE,Yes,0,4,D,grade2,ED,9/11/2019,59, JH Area,14,7,0,0,A,YES,NO,Mrs,YES,YES
9/10/2018,11:46,Extremely Fast,PHONE,,1,3,A,grade2,MCH,10/15/2019,57, PP Area,14,2,1,0,None Required,YES,YES,Mrs,YES,YES
